Teams,Primary Colors,Secondary Colors,Third
Atlanta Hawks,#C8102E,#FDB927,#000000
Boston Celtics,#007A33,#BA9653,#963821
Brisbane Bullets,#002d73,#faa21b,#ffffff
Brooklyn Nets,#000000,#FFFFFF,
Charlotte Hornets,#1D1160,#00788C,#A1A1A4
Chicago Bulls,#CE1141,#000000,
Cleveland Cavaliers,#860038,#041E42,#FDBB30
Dallas Mavericks,#00538C,#002B5E,#B8C4CA
Denver Nuggets,#0E2240,#FEC524,#8B2131
Detroit Pistons,#C8102E,#1D42BA,#BEC0C2
Golden State Warriors,#1D428A,#FFC72C,
Guangzhou Long-Lions,0,0,0
Haifa Maccabi Haifa,0,0,0
Houston Rockets,#CE1141,#000000,#C4CED4
Indiana Pacers,#002D62,#FDBB30,#BEC0C2
LA Clippers,#C8102E,#1D428A,#BEC0C2
Los Angeles Lakers,#552583,#FDB927,#000000
Melbourne United,0,0,0
Memphis Grizzlies,#5D76A9,#12173F,#F5B112
Miami Heat,#98002E,#F9A01B,#000000
Milwaukee Bucks,#00471B,#EEE1C6,#0077C0
Minnesota Timberwolves,#0C2340,#236192,#9EA2A2
New Orleans Pelicans,#0C2340,#C8102E,#85714D
New York Knicks,#006BB6,#F58426,#BEC0C2
Oklahoma City Thunder,#007AC1,#EF3B24,#002D62
Orlando Magic,#0077C0,#C4CED4,#000000
Philadelphia 76ers,#006BB6,#ED174C,#002B5C
Phoenix Suns,#1D1160,#E56020,#000000
Portland Trail Blazers,#E03A3E,#000000,
Sacramento Kings,#5A2D81,#63727A,#000000
San Antonio Spurs,#C4CED4,#000000,
Shanghai Sharks,0,0,0
Sydney Kings,0,0,0
Team Team Durant,0,0,0
Team LeBron,0,0,0
Away Team Wilbon,0,0,0
Home Team Stephen A,0,0,0
Toronto Rapters,#CE1141,#000000,#A1A1A4
USA USA,0,0,0
Utah Jazz,#002B5C,#00471B,#F9A01B
Washington Wizards,#002B5C,#E31837,#C4CED4